,w_knn,w_rf,w_svm,w_xgboost,f1
359,0.09972008985918723,0.4835353020330183,0.44690210584256207,0.0972887226193504,0.5290592692015016
88,0.3886289751923536,0.8998756309765547,0.6033244938320351,0.38784199033123956,0.5290592692015016
287,0.18312729125563465,0.6003000278298043,0.4685720010754397,0.16728585398337648,0.5290592692015016
97,0.7250788855904813,0.2807397664321982,0.27106627149705564,0.9782627721945627,0.5285688502292265
253,0.7577068136784465,0.34159415556924466,0.4276153015229771,0.9998851204049647,0.5285688502292265
283,0.46517216604502143,0.2657017376761648,0.2932101308586942,0.572332830943599,0.5285688502292265
150,0.8523579605774683,0.13130489627981412,0.1278069852921334,0.878376875791426,0.5285688502292265
76,0.09999885692759658,0.20326523538584662,0.6916933003086778,0.8906697717735007,0.5284177008278582
20,0.199546956277885,0.43931012060243235,0.5168831103761766,0.9437360147161893,0.5284177008278582
378,0.2040127976730327,0.5442778463475885,0.42617457504048917,0.7857408056330549,0.5284177008278582
167,0.24925180355708532,0.4207522604014411,0.5314590490845464,0.9497126439522382,0.5284177008278582
