,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
314,4.904604520957528,rbf,auto,10,0.00385723334259869,-0.8060648135710545,0.048805432234149335,189
413,4.9018970867257,rbf,auto,29,0.0038369414446556348,-0.8060648506282749,0.04880121988246559,190
483,4.906226816576902,rbf,auto,25,0.0035756202010112383,-0.8060649612319006,0.048808717534112804,191
138,5.023170232877983,rbf,auto,16,0.003213096391031578,-0.8060650599084818,0.04880551541097357,192
228,4.969482681645083,rbf,auto,11,0.002899249672358692,-0.8060652162829449,0.04881197844658826,193
369,5.010835600503159,rbf,auto,25,0.002488324469899453,-0.8060660134258668,0.048829089508799335,194
36,5.0943424190778215,rbf,auto,3,0.0038049252430844872,-0.8060662107588483,0.048746990412619005,195
96,4.985636829663463,rbf,auto,21,0.0028624623458541917,-0.8060662856257649,0.0488165038761647,196
195,5.094878961533234,rbf,auto,27,0.003491808570098726,-0.8060663536065737,0.048752901342190215,197
21,4.9790300472003635,rbf,auto,4,0.002990499894055426,-0.8060663544631277,0.048813239535122066,198
254,4.99591642035085,rbf,auto,4,0.002686532709092739,-0.8060677806171765,0.04881850351534262,199
296,4.933346151998677,rbf,auto,15,0.0031013637796425677,-0.8060678439009841,0.048808980018980694,200
217,5.075330720531669,rbf,auto,25,0.0029507794856881804,-0.8060684095884953,0.048776097214578075,201
469,5.049930366348585,rbf,auto,3,0.002972979296142727,-0.8060686124086534,0.04880322074745309,202
382,5.007968555781639,rbf,auto,19,0.0029763896535012742,-0.8060687527513846,0.04880325714111032,203
4,4.904116898859161,rbf,auto,2,0.003610993861334124,-0.8060687700075123,0.048808489805922096,204
34,5.0331844713235,rbf,auto,12,0.003188787356776066,-0.8060687718175508,0.04879476391394858,205
332,4.982924824745405,rbf,auto,28,0.002676348594668293,-0.8060693415295127,0.04881149447884559,206
345,4.946214959317615,rbf,auto,27,0.002528539395530169,-0.806069394455737,0.048816640753025345,207
79,5.057068130222789,rbf,auto,8,0.00303314529829795,-0.806069626400878,0.04878599475952193,208
255,5.017368223604176,rbf,auto,8,0.0029336771733037958,-0.8060705178286209,0.04880662959581598,209
86,5.013661720667095,rbf,auto,12,0.0025450703841938004,-0.8060710435541527,0.04882004336561067,210
134,5.029954736528553,rbf,auto,26,0.0030802504902610827,-0.8060710701455914,0.04880784120128724,211
162,4.989689104395664,rbf,auto,3,0.003013204629505595,-0.8060712433619832,0.04882144264648352,212
80,4.901839410323326,rbf,auto,25,0.0033185088455402792,-0.8060716211437651,0.048804606380188624,213
44,4.932244257450801,rbf,auto,2,0.0031227702406689665,-0.8060717495628884,0.04880460045859195,214
125,4.918774658016258,rbf,auto,25,0.0033019868835886565,-0.8060722547770058,0.04881645374173094,215
